well_ID,Cell_line,Treatment,,,,,,,,,,
J13,HEK293T_Dvl2_mEos_APC_KO_IV,DMSO,,,,,,,,,,
K13,HEK293T_Dvl2_mEos_APC_KO_IV,DMSO,,,,,,,,,,
L13,HEK293T_Dvl2_mEos_APC_KO_IV,PF670462,,,,,,,,,,
M13,HEK293T_Dvl2_mEos_APC_KO_IV,PF670462,,,,,,,,,,
N13,HEK293T_Dvl2_mEos_APC_KO_IV,PF670462,,,,,,,,,,
O13,HEK293T_Dvl2_mEos_APC_KO_IV,PF670462,,,,,,,,,,
P13,empty,empty,,,,,,,,,,
A14,empty,empty,,,,,,,,,,
B14,HEK293T_Dvl2_mEos_APC_KO_V,medium,,,,,,,,,,
C14,HEK293T_Dvl2_mEos_APC_KO_V,medium,,,,,,,,,,
D14,HEK293T_Dvl2_mEos_APC_KO_V,medium,,,,,,,,,,
E14,HEK293T_Dvl2_mEos_APC_KO_V,medium,,,,,,,,,,
F14,HEK293T_Dvl2_mEos_APC_KO_V,medium,,,,,,,,,,
G14,HEK293T_Dvl2_mEos_APC_KO_V,medium,,,,,,,,,,
H14,HEK293T_Dvl2_mEos_APC_KO_V,DMSO,,,,,,,,,,
I14,HEK293T_Dvl2_mEos_APC_KO_V,DMSO,,,,,,,,,,
J14,HEK293T_Dvl2_mEos_APC_KO_V,DMSO,,,,,,,,,,
K14,HEK293T_Dvl2_mEos_APC_KO_V,DMSO,,,,,,,,,,
L14,HEK293T_Dvl2_mEos_APC_KO_V,PF670462,,,,,,,,,,
M14,HEK293T_Dvl2_mEos_APC_KO_V,PF670462,,,,,,,,,,
N14,HEK293T_Dvl2_mEos_APC_KO_V,PF670462,,,,,,,,,,
O14,HEK293T_Dvl2_mEos_APC_KO_V,PF670462,,,,,,,,,,
P14,empty,empty,,,,,,,,,,
A15,empty,empty,,,,,,,,,,
B15,HEK293T_Dvl2_mEos_APC_KO_V,medium,,,,,,,,,,
C15,HEK293T_Dvl2_mEos_APC_KO_V,medium,,,,,,,,,,
D15,HEK293T_Dvl2_mEos_APC_KO_V,medium,,,,,,,,,,
E15,HEK293T_Dvl2_mEos_APC_KO_V,medium,,,,,,,,,,
F15,HEK293T_Dvl2_mEos_APC_KO_V,medium,,,,,,,,,,
G15,HEK293T_Dvl2_mEos_APC_KO_V,medium,,,,,,,,,,
H15,HEK293T_Dvl2_mEos_APC_KO_V,DMSO,,,,,,,,,,
I15,HEK293T_Dvl2_mEos_APC_KO_V,DMSO,,,,,,,,,,
J15,HEK293T_Dvl2_mEos_APC_KO_V,DMSO,,,,,,,,,,
K15,HEK293T_Dvl2_mEos_APC_KO_V,DMSO,,,,,,,,,,
L15,HEK293T_Dvl2_mEos_APC_KO_V,PF670462,,,,,,,,,,
M15,HEK293T_Dvl2_mEos_APC_KO_V,PF670462,,,,,,,,,,
N15,HEK293T_Dvl2_mEos_APC_KO_V,PF670462,,,,,,,,,,
O15,HEK293T_Dvl2_mEos_APC_KO_V,PF670462,,,,,,,,,,
P15,empty,empty,,,,,,,,,,
A16,empty,empty,,,,,,,,,,
B16,HEK293T_Dvl2_mEos_Axin_KO_IV,medium,,,,,,,,,,
C16,HEK293T_Dvl2_mEos_Axin_KO_IV,medium,,,,,,,,,,
D16,HEK293T_Dvl2_mEos_Axin_KO_IV,medium,,,,,,,,,,
E16,HEK293T_Dvl2_mEos_Axin_KO_IV,medium,,,,,,,,,,
F16,HEK293T_Dvl2_mEos_Axin_KO_IV,medium,,,,,,,,,,
G16,HEK293T_Dvl2_mEos_Axin_KO_IV,medium,,,,,,,,,,
H16,HEK293T_Dvl2_mEos_Axin_KO_IV,DMSO,,,,,,,,,,
I16,HEK293T_Dvl2_mEos_Axin_KO_IV,DMSO,,,,,,,,,,
J16,HEK293T_Dvl2_mEos_Axin_KO_IV,DMSO,,,,,,,,,,
K16,HEK293T_Dvl2_mEos_Axin_KO_IV,DMSO,,,,,,,,,,
L16,HEK293T_Dvl2_mEos_Axin_KO_IV,PF670462,,,,,,,,,,
M16,HEK293T_Dvl2_mEos_Axin_KO_IV,PF670462,,,,,,,,,,
N16,HEK293T_Dvl2_mEos_Axin_KO_IV,PF670462,,,,,,,,,,
O16,HEK293T_Dvl2_mEos_Axin_KO_IV,PF670462,,,,,,,,,,
P16,empty,empty,,,,,,,,,,
A17,empty,empty,,,,,,,,,,
